Sample,BEAT,hz1,idx1,noize1,avg1,thresh1,cur1,sd1,is_beat1,hz2,idx2,noize2,avg2,thresh2,cur2,sd2,is_beat2,hz3,idx3,noize3,avg3,thresh3,cur3,sd3,is_beat3
2   ,6,60,6,0.18,0.05,0.17,0.01,0.14,0,75,7,0.19,0.06,0.22,0.01,0.21,0,95,9,0.20,0.06,0.20,0.01,0.17,0
3   ,6,60,6,0.18,0.05,0.16,0.01,0.14,0,75,7,0.19,0.06,0.22,0.02,0.21,0,95,9,0.20,0.06,0.20,0.01,0.17,0
4   ,6,60,6,0.18,0.05,0.16,0.02,0.14,0,75,7,0.19,0.06,0.22,0.02,0.21,0,95,9,0.20,0.06,0.20,0.01,0.17,0
5   ,6,60,6,0.18,0.05,0.16,0.01,0.14,0,75,7,0.19,0.06,0.22,0.02,0.21,0,95,9,0.20,0.06,0.20,0.03,0.17,0
6   ,6,60,6,0.18,0.05,0.16,0.00,0.14,0,75,7,0.19,0.06,0.22,0.01,0.21,0,95,9,0.20,0.06,0.19,0.02,0.17,0
7   ,6,60,6,0.18,0.04,0.16,0.01,0.13,0,75,7,0.19,0.06,0.22,0.01,0.21,0,95,9,0.20,0.05,0.19,0.00,0.16,0
8   ,6,60,6,0.18,0.04,0.16,0.01,0.13,0,75,7,0.19,0.06,0.21,0.01,0.21,0,95,9,0.20,0.05,0.19,0.00,0.16,0
9   ,6,60,6,0.18,0.04,0.15,0.01,0.13,0,75,7,0.19,0.06,0.21,0.01,0.21,0,95,9,0.20,0.05,0.18,0.01,0.16,0
10  ,6,60,6,0.18,0.04,0.15,0.01,0.13,0,75,7,0.19,0.06,0.21,0.00,0.21,0,95,9,0.20,0.05,0.18,0.01,0.16,0
11  ,6,60,6,0.18,0.04,0.15,0.00,0.13,0,75,7,0.19,0.06,0.21,0.01,0.20,0,95,9,0.20,0.05,0.18,0.01,0.16,0
12  ,6,60,6,0.18,0.04,0.14,0.01,0.13,0,75,7,0.19,0.06,0.20,0.01,0.20,0,95,9,0.20,0.05,0.17,0.01,0.16,0
13  ,6,60,6,0.18,0.04,0.13,0.01,0.11,0,75,7,0.19,0.05,0.18,0.01,0.19,0,95,9,0.20,0.05,0.16,0.01,0.15,0
14  ,6,60,6,0.18,0.03,0.12,0.01,0.11,0,75,7,0.19,0.05,0.16,0.01,0.17,0,95,9,0.20,0.04,0.15,0.01,0.15,0
15  ,6,60,6,0.18,0.03,0.11,0.01,0.10,0,75,7,0.19,0.04,0.14,0.00,0.14,0,95,9,0.20,0.04,0.14,0.01,0.13,0
16  ,6,60,6,0.18,0.03,0.09,0.00,0.08,0,75,7,0.19,0.03,0.12,0.01,0.10,0,95,9,0.20,0.03,0.11,0.02,0.08,0
17  ,6,60,6,0.18,0.02,0.08,0.01,0.05,0,75,7,0.19,0.03,0.10,0.02,0.07,0,95,9,0.20,0.03,0.10,0.02,0.05,0
18  ,6,60,6,0.18,0.02,0.08,0.01,0.05,0,75,7,0.19,0.03,0.09,0.02,0.05,0,95,9,0.20,0.03,0.10,0.01,0.05,0
19  ,6,60,6,0.18,0.02,0.07,0.01,0.04,0,75,7,0.19,0.02,0.08,0.02,0.04,0,95,9,0.20,0.03,0.09,0.00,0.05,0
20  ,6,60,6,0.17,0.02,0.07,0.02,0.03,0,75,7,0.19,0.02,0.08,0.02,0.04,0,95,9,0.20,0.03,0.09,0.01,0.05,0
21  ,6,60,6,0.17,0.02,0.07,0.01,0.03,0,75,7,0.19,0.02,0.08,0.02,0.04,0,95,9,0.20,0.03,0.09,0.01,0.05,0
22  ,6,60,6,0.17,0.02,0.06,0.00,0.03,0,75,7,0.19,0.02,0.08,0.02,0.04,0,95,9,0.20,0.03,0.09,0.01,0.05,0
23  ,6,60,6,0.17,0.02,0.07,0.02,0.03,0,75,7,0.18,0.02,0.08,0.00,0.04,0,95,9,0.20,0.03,0.09,0.02,0.04,0
24  ,6,60,6,0.17,0.02,0.06,0.01,0.03,0,75,7,0.18,0.02,0.08,0.01,0.04,0,95,9,0.20,0.03,0.09,0.02,0.04,0
25  ,6,60,6,0.17,0.02,0.06,0.02,0.03,0,75,7,0.18,0.02,0.08,0.01,0.04,0,95,9,0.20,0.02,0.09,0.02,0.04,0
26  ,6,60,6,0.17,0.02,0.06,0.02,0.03,0,75,7,0.18,0.02,0.07,0.02,0.04,0,95,9,0.20,0.02,0.08,0.01,0.04,0
27  ,6,60,6,0.17,0.02,0.06,0.01,0.03,0,75,7,0.18,0.02,0.07,0.02,0.03,0,95,9,0.19,0.02,0.08,0.01,0.04,0
28  ,6,60,6,0.17,0.02,0.06,0.01,0.03,0,75,7,0.18,0.02,0.07,0.01,0.03,0,95,9,0.19,0.02,0.08,0.01,0.04,0
29  ,6,60,6,0.17,0.02,0.06,0.01,0.03,0,75,7,0.18,0.02,0.07,0.00,0.03,0,95,9,0.19,0.02,0.08,0.00,0.04,0
