Sample,BEAT,hz1,idx1,noize1,avg1,thresh1,cur1,sd1,is_beat1,hz2,idx2,noize2,avg2,thresh2,cur2,sd2,is_beat2,hz3,idx3,noize3,avg3,thresh3,cur3,sd3,is_beat3
1    ,0,60,6,0.25,0.00,0.01,2.00,0.22,0,75,7,0.25,0.01,0.03,3.91,0.43,0,95,9,0.25,0.20,0.69,98.35,10.74,0
2    ,1,60,6,0.25,0.00,0.02,0.43,0.22,0,75,7,0.25,0.01,0.05,3.07,0.55,0,95,9,0.25,0.40,1.41,102.78,15.64,1
3    ,1,60,6,0.25,0.01,0.02,0.41,0.23,0,75,7,0.25,0.02,0.06,1.89,0.59,0,95,9,0.25,0.61,2.13,102.96,19.40,1
4    ,1,60,6,0.25,0.01,0.02,0.61,0.24,0,75,7,0.25,0.02,0.07,1.79,0.62,0,95,9,0.25,0.81,2.84,101.35,22.49,1
5    ,1,60,6,0.25,0.01,0.03,0.55,0.25,0,75,7,0.25,0.03,0.09,1.87,0.66,0,95,9,0.25,1.00,3.52,96.86,25.00,1
6    ,1,60,6,0.25,0.01,0.03,0.95,0.27,0,75,7,0.25,0.03,0.10,1.25,0.67,0,95,9,0.25,1.18,4.14,89.43,26.99,1
7    ,1,60,6,0.25,0.01,0.04,1.11,0.30,0,75,7,0.25,0.04,0.13,4.17,0.82,0,95,9,0.25,1.35,4.73,83.27,28.61,1
8    ,1,60,6,0.25,0.02,0.05,1.62,0.35,0,75,7,0.25,0.05,0.18,7.93,1.20,0,95,9,0.25,1.50,5.25,74.54,29.87,1
9    ,1,60,6,0.25,0.02,0.06,0.60,0.36,0,75,7,0.25,0.07,0.25,9.61,1.61,0,95,9,0.25,1.61,5.65,57.26,30.60,1
10   ,1,60,6,0.25,0.02,0.06,0.92,0.37,0,75,7,0.25,0.09,0.31,9.11,1.91,0,95,9,0.25,1.70,5.95,43.69,31.04,1
11   ,1,60,6,0.25,0.02,0.07,1.16,0.39,0,75,7,0.25,0.11,0.37,8.14,2.12,0,95,9,0.25,1.77,6.20,35.25,31.33,1
12   ,1,60,6,0.25,0.02,0.07,0.13,0.39,0,75,7,0.25,0.12,0.41,6.56,2.25,0,95,9,0.25,1.83,6.40,28.59,31.53,0
13   ,1,60,6,0.25,0.03,0.09,2.69,0.50,0,75,7,0.25,0.13,0.47,8.16,2.43,0,95,9,0.25,1.89,6.61,29.95,31.74,0
14   ,2,60,6,0.25,0.04,0.13,6.03,0.84,0,75,7,0.25,0.16,0.56,12.06,2.79,0,95,9,0.25,1.98,6.94,47.26,32.23,1
15   ,2,60,6,0.25,0.05,0.18,7.18,1.16,0,75,7,0.25,0.18,0.64,12.30,3.12,0,95,9,0.25,2.15,7.54,85.02,33.68,1
16   ,2,60,6,0.25,0.06,0.22,4.87,1.28,0,75,7,0.25,0.19,0.67,4.56,3.17,0,95,9,0.25,2.37,8.28,106.84,35.83,1
17   ,2,60,6,0.25,0.07,0.23,2.18,1.31,0,75,7,0.25,0.20,0.69,2.37,3.18,0,95,9,0.25,2.60,9.09,114.54,38.15,1
18   ,2,60,6,0.25,0.07,0.24,0.23,1.31,0,75,7,0.25,0.21,0.72,4.30,3.22,0,95,9,0.25,2.82,9.88,113.00,40.30,1
19   ,2,60,6,0.25,0.07,0.24,0.24,1.31,0,75,7,0.25,0.21,0.75,3.75,3.25,0,95,9,0.25,3.05,10.66,112.00,42.31,1
20   ,2,60,6,0.25,0.07,0.24,0.38,1.31,0,75,7,0.25,0.22,0.76,2.40,3.26,0,95,9,0.25,3.27,11.43,109.93,44.16,1
21   ,2,60,6,0.25,0.07,0.25,0.87,1.31,0,75,7,0.25,0.22,0.77,1.42,3.27,0,95,9,0.25,3.47,12.16,104.40,45.78,1
22   ,2,60,6,0.25,0.07,0.25,0.35,1.32,0,75,7,0.25,0.23,0.80,3.28,3.29,0,95,9,0.25,3.67,12.85,98.27,47.18,1
23   ,2,60,6,0.25,0.07,0.25,0.07,1.32,0,75,7,0.25,0.24,0.83,4.43,3.34,0,95,9,0.25,3.85,13.48,90.10,48.34,1
24   ,2,60,6,0.25,0.07,0.25,0.02,1.32,0,75,7,0.25,0.24,0.86,4.16,3.37,0,95,9,0.25,4.01,14.03,78.22,49.20,1
25   ,2,60,6,0.25,0.07,0.25,0.07,1.32,0,75,7,0.25,0.25,0.88,3.08,3.39,0,95,9,0.25,4.16,14.54,73.92,49.96,1
26   ,2,60,6,0.25,0.07,0.25,0.56,1.32,0,75,7,0.25,0.26,0.89,2.00,3.40,0,95,9,0.25,4.29,15.02,67.89,50.60,1
27   ,2,60,6,0.25,0.07,0.26,0.57,1.32,0,75,7,0.25,0.26,0.91,2.02,3.41,0,95,9,0.25,4.39,15.38,51.53,50.98,1
28   ,2,60,6,0.25,0.08,0.26,0.93,1.33,0,75,7,0.25,0.26,0.93,2.79,3.43,0,95,9,0.25,4.45,15.57,27.55,51.10,0
29   ,3,60,6,0.25,0.09,0.31,6.03,1.49,0,75,7,0.25,0.28,1.00,10.05,3.62,1,95,9,0.25,4.48,15.69,17.23,51.15,0
30   ,3,60,6,0.25,0.11,0.39,12.54,2.05,0,75,7,0.25,0.32,1.12,17.98,4.16,1,95,9,0.25,4.51,15.79,13.71,51.19,0
31   ,3,60,6,0.25,0.14,0.51,16.18,2.74,0,75,7,0.25,0.36,1.25,18.63,4.67,1,95,9,0.25,4.52,15.81,3.57,51.19,0
32   ,3,60,6,0.25,0.17,0.58,10.84,3.00,0,75,7,0.25,0.38,1.32,9.72,4.80,1,95,9,0.25,4.54,15.90,12.87,51.22,0
33   ,3,60,6,0.25,0.17,0.61,3.18,3.03,0,75,7,0.25,0.38,1.34,2.50,4.81,0,95,9,0.25,4.57,16.01,15.23,51.26,0
34   ,3,60,6,0.25,0.17,0.61,0.99,3.03,0,75,7,0.25,0.38,1.34,0.18,4.81,0,95,9,0.25,4.61,16.12,15.49,51.31,0
35   ,3,60,6,0.25,0.18,0.62,1.42,3.03,0,75,7,0.25,0.38,1.34,0.19,4.81,0,95,9,0.25,4.64,16.24,16.96,51.36,0
36   ,3,60,6,0.25,0.18,0.63,1.54,3.04,0,75,7,0.25,0.38,1.35,0.62,4.81,0,95,9,0.25,4.67,16.36,17.07,51.41,0
37   ,3,60,6,0.25,0.18,0.64,0.39,3.04,0,75,7,0.25,0.39,1.35,1.14,4.82,0,95,9,0.25,4.71,16.48,16.85,51.46,0
38   ,3,60,6,0.25,0.19,0.65,1.78,3.05,0,75,7,0.25,0.39,1.36,0.98,4.82,0,95,9,0.25,4.74,16.59,16.98,51.51,0
39   ,3,60,6,0.25,0.19,0.66,1.80,3.06,0,75,7,0.25,0.39,1.37,0.80,4.82,0,95,9,0.25,4.77,16.71,16.20,51.55,0
40   ,3,60,6,0.25,0.19,0.67,1.46,3.07,0,75,7,0.25,0.39,1.37,1.11,4.82,0,95,9,0.25,4.80,16.81,14.41,51.59,0
41   ,3,60,6,0.25,0.19,0.68,1.06,3.07,0,75,7,0.25,0.39,1.38,1.11,4.83,0,95,9,0.25,4.82,16.88,10.67,51.61,0
42   ,3,60,6,0.25,0.20,0.68,0.63,3.07,0,75,7,0.25,0.39,1.38,0.09,4.83,0,95,9,0.25,4.84,16.94,8.70,51.63,0
43   ,3,60,6,0.25,0.20,0.69,1.28,3.08,0,75,7,0.25,0.40,1.39,0.80,4.83,0,95,9,0.25,4.86,17.01,8.97,51.65,0
44   ,3,60,6,0.25,0.20,0.70,1.33,3.08,0,75,7,0.25,0.40,1.39,0.37,4.83,0,95,9,0.25,4.88,17.07,9.51,51.66,0
45   ,3,60,6,0.25,0.20,0.71,0.57,3.08,0,75,7,0.25,0.40,1.40,0.80,4.83,0,95,9,0.25,4.90,17.14,9.34,51.68,0
46   ,3,60,6,0.25,0.20,0.71,0.43,3.08,0,75,7,0.25,0.40,1.41,1.33,4.83,0,95,9,0.25,4.91,17.19,7.86,51.70,0
47   ,3,60,6,0.25,0.20,0.71,0.76,3.09,0,75,7,0.25,0.41,1.42,2.50,4.84,0,95,9,0.25,4.93,17.24,6.86,51.71,0
48   ,3,60,6,0.25,0.21,0.73,2.39,3.10,0,75,7,0.25,0.41,1.45,3.76,4.87,0,95,9,0.25,4.94,17.28,5.64,51.72,0
49   ,3,60,6,0.25,0.22,0.75,3.52,3.13,0,75,7,0.25,0.42,1.47,2.84,4.88,0,95,9,0.25,4.95,17.31,4.31,51.72,0
50   ,3,60,6,0.25,0.22,0.78,3.02,3.15,0,75,7,0.25,0.42,1.48,1.82,4.89,0,95,9,0.25,4.97,17.40,11.97,51.75,0
51   ,3,60,6,0.25,0.23,0.79,2.15,3.16,0,75,7,0.25,0.43,1.51,4.65,4.92,0,95,9,0.25,5.00,17.49,13.03,51.78,0
